5100,2182433.648,5981352.933,9.752,GR
5101,2182434.205,5981353.424,9.843,ECONC
5102,2182439.789,5981354.871,9.696,CONC
5103,2182445.845,5981356.248,9.591,TC
5104,2182446.164,5981356.295,9.295,AC
5105,2182454.042,5981358.874,9.991,AC
5106,2182462.187,5981337.226,9.75,AC
5107,2182453.327,5981335.348,9.004,AC
5108,2182452.84,5981335.218,9.249,TC
5109,2182447.253,5981333.399,9.407,CONC
5110,2182441.406,5981331.674,9.548,ECONC
5111,2182427.818,5981327.465,10.313,X
5112,2182435.772,5981314.212,10.351,"20"" FIR"
5113,2182440.497,5981299.728,9.899,SIGN
5114,2182446.414,5981303.064,9.624,SIGN
5115,2182446.291,5981316.841,9.376,ECONC TC END
5116,2182451.971,5981318.864,9.356,CONC
5117,2182457.672,5981320.686,9.215,TC CR TT
5118,2182457.758,5981320.697,8.914,LIP
5119,2182459.053,5981321.229,9.007,LIP
5120,2182455.895,5981317.879,9.26,EL SIGN BUTTON
5121,2182453.045,5981327.178,9.261,SIGN
5122,2182454.846,5981331.062,9.007,STRIPE
5123,2182455.922,5981329.795,9.048,STRIPE
5124,2182457.829,5981329.03,9.166,STRIPE
5125,2182459.977,5981328.787,9.338,STRIPE
5126,2182462.278,5981327.918,9.477,STRIPE
5127,2182463.816,5981325.888,9.529,STRIPE
5128,2182467.045,5981316.333,9.468,STRIPE STRIPE
5129,2182470.79,5981305.955,9.451,STRIPE STRIPE
5130,2182473.586,5981297.888,9.377,STRIPE
5131,2182474.069,5981294.857,9.321,STRIPE
5132,2182473.252,5981292.517,9.169,STRIPE
5133,2182472.014,5981290.354,8.948,STRIPE
5134,2182471.322,5981288.037,8.776,STRIPE
5135,2182471.721,5981286.163,8.761,STRIPE
5136,2182461.414,5981314.557,8.972,LIP STRIPE
5137,2182464.954,5981304.289,8.863,LIP STRIPE
5138,2182457.841,5981320.699,8.901,FL
5139,2182460.042,5981314.821,8.895,FL
5140,2182463.789,5981303.624,8.797,FL
5141,2182467.822,5981292.07,8.676,FL
5142,2182472.176,5981279.461,8.607,FL
5143,2182477.835,5981263.238,8.499,FL
5144,2182479.115,5981263.629,8.553,LIP
5145,2182473.502,5981279.797,8.678,LIP
5146,2182479.768,5981281.925,9.343,AC
5147,2182486.517,5981263.94,9.151,AC
5148,2182469.438,5981291.48,8.758,LIP
5149,2182468.04,5981290.905,8.797,CONC
5150,2182471.771,5981280.261,8.7,CONC
5151,2182463.248,5981303.39,8.826,DOMES
5152,2182460.478,5981302.437,8.847,DOMES
5153,2182458.553,5981307.897,8.848,TC BT DOMES
5154,2182459.267,5981314.562,8.958,TC BT DOMES
5155,2182451.701,5981300.907,8.929,TC BT
5156,2182451.544,5981300.877,9.359,TC
5157,2182451.686,5981299.122,8.974,LIP
5158,2182457.469,5981303.252,8.911,LIP ECONC
5159,2182454.386,5981312.003,9.079,CONC
5160,2182449.18,5981309.589,9.158,CONC
5161,2182462.087,5981290.269,8.871,ECONC
5162,2182465.925,5981279.486,8.83,ECONC LIP
5163,2182450.085,5981301.314,9.329,"POST 4""X4"""
5164,2182442.13,5981298.978,9.646,"POST 4""X4"""
5165,2182447.579,5981307.965,9.586,"POST 4""X4"""
5166,2182444.535,5981317.832,9.574,"POST 4""X4"""
5167,2182443.009,5981323.032,9.707,"POST 4""X4"""
5168,2182439.4,5981332.947,9.917,"POST 4""X4"""
5169,2182442.429,5981311.647,9.969,"POST 4""X4"""
5170,2182439.495,5981307.123,10.003,"POST 4""X4"""
5171,2182435.295,5981309.783,10.116,"POST 4""X4"""
5172,2182436.014,5981298.462,10.093,SIGN
5173,2182437.701,5981296.715,9.945,TC
5174,2182438.254,5981295.171,9.56,LIP
5175,2182438.418,5981293.557,9.799,X GATE
5176,2182444.181,5981274.299,9.564,X GATE
5177,2182441.179,5981283.679,10.127,AC
5178,2182455.488,5981287.99,9.266,AC
5179,2182449.504,5981274.283,9.369,LIP
5180,2182450.078,5981272.949,9.724,TC
5181,2182451.682,5981267.712,9.841,ECONC
5182,2182452.178,5981265.833,9.874,ECONC
5183,2182452.743,5981265.532,9.702,GR
5184,2182445.841,5981270.584,9.815,X GATE
5185,2182447.316,5981266.123,9.883,X GATE
5186,2182450.601,5981254.335,10.068,X
5187,2182450.009,5981261.163,10.425,"6"" MAG"
5188,2182452.402,5981255.258,10.232,COL COR
5189,2182453.337,5981255.561,10.105,COL COR
5190,2182453.611,5981254.501,9.743,COL COR BLDG COR
5191,2182458.417,5981239.039,9.643,BLDG LINE
5192,2182460.948,5981248.583,9.956,"8"" TREE"
5193,2182461.27,5981254.31,9.703,GR
5194,2182467.246,5981256.122,9.377,GR
5195,2182468.525,5981256.727,9.195,ECONC
5196,2182467.893,5981258.276,9.191,ECONC
5197,2182467.459,5981258.154,9.199,ECONC
5198,2182464.841,5981265.276,9.382,ECONC
5199,2182456.844,5981269.313,9.586,ECONC
5200,2182456.795,5981268.971,9.514,GR
5201,2182464.403,5981264.875,9.366,GR
5202,2182471.276,5981260.727,9.132,CONC
5203,2182472.276,5981257.865,9.106,CONC
5204,2182478.717,5981260.074,8.937,TC
5205,2182480.174,5981260.752,8.529,LIP
5206,2182476.496,5981266.363,8.951,TC CR
5207,2182474.269,5981271.163,9.018,TC TT
5208,2182470.953,5981274.746,8.804,TC BT
5209,2182467.379,5981276.478,8.857,TC BT
5210,2182460.858,5981276.307,9.436,TC TT CR
5211,2182460.491,5981277.795,8.97,LIP
5212,2182461.177,5981275.858,9.425,GB
5213,2182464.33,5981270.749,9.383,GB
5214,2182468.035,5981269.006,9.301,GB
5215,2182473.674,5981270.913,9.058,GB
5216,2182469.39,5981271.662,9.111,DOMES
5217,2182465.834,5981273.409,9.113,DOMES
5218,2182467.155,5981276.062,8.919,DOMES
5219,2182470.713,5981274.308,8.902,DOMES
5220,2182464.126,5981274.707,9.214,CONC
5221,2182470.973,5981271.493,9.1,CONC
5222,2182475.812,5981260.37,9.02,ST LT OHL
5223,2182506.058,5981263.055,9.315,OHL
5224,2182505.419,5981266.261,9.334,OHL 1
5225,2182454.534,5981252.219,9.659,OHL 1
5226,2182504.967,5981248.745,9.312,SSMH
5227,2182423.835,5981308.695,10.623,X
5228,2182422.069,5981306.688,10.981,EL SLAB
5229,2182414.576,5981305.204,11.036,X END
5230,2182412.863,5981301.218,12.001,EL SLAB
5231,2182412.852,5981301.511,11.476,GR
5232,2182439.228,5981271.143,9.577,LIP
5233,2182439.674,5981269.746,9.9,TC
5234,2182441.06,5981264.722,9.977,CONC
5235,2182441.496,5981263.623,10.039,ECONC
5236,2182441.846,5981262.61,10.054,ECONC
5237,2182441.687,5981262.248,10.117,GR
5238,2182441.682,5981260.021,10.493,SIGN
5239,2182445.616,5981261.259,10.257,SIGN
5240,2182431.582,5981261.891,10.759,CONC
5241,2182429.953,5981266.703,10.701,TC
5242,2182420.034,5981263.618,11.478,TC
5243,2182419.642,5981265.105,11.086,LIP
5244,2182421.632,5981258.599,11.56,CONC
5245,2182421.85,5981257.592,11.638,ECONC
5246,2182422.373,5981257.401,11.612,GR
5247,2182427.689,5981255.653,11.524,"5"" MAG"
5248,2182421.85,5981258.47,12.061,"TFW 10"" CONC END"
5249,2182441.139,5981264.455,10.526,"TFW 10"" CONC END"
5250,2182431.465,5981261.439,11.299,"TFW 10"" CONC"
5251,2182425.248,5981246.892,12.139,COL COR ECONC
5252,2182426.165,5981247.185,11.58,COL COR
5253,2182425.539,5981245.97,12.221,COL COR BLDG COR
5254,2182430.451,5981230.158,12.579,BLDG LINE
5255,2182427.854,5981247.629,11.26,UTIL RISERS
5256,2182426.349,5981242.938,12.448,CONC
5257,2182416.3,5981241.633,12.168,ECONC
5258,2182415.497,5981244.17,12.164,ECONC
5259,2182413.585,5981250.214,11.866,ECONC
5260,2182411.417,5981253.292,11.791,ECONC
5261,2182407.877,5981254.073,11.812,ECONC
5262,2182410.31,5981260.554,11.55,TC
5263,2182416.108,5981256.775,11.636,CONC
5264,2182409.492,5981253.451,11.561,GR
5265,2182415.722,5981242.388,11.98,GR
5266,2182395.93,5981257.745,11.819,LIP
5267,2182396.087,5981256.238,12.213,TC
5268,2182397.85,5981251.036,12.295,ECONC
5269,2182385.432,5981247.142,12.928,ECONC
5270,2182385.492,5981246.739,12.757,GR
5271,2182384.002,5981252.457,12.813,TC
5272,2182383.603,5981253.862,12.427,LIP
5273,2182379.43,5981254.405,12.737,EL BOX 3.0X4.5
5274,2182369.127,5981249.486,12.986,LIP
5275,2182369.437,5981247.99,13.357,TC
5276,2182371.086,5981242.75,13.437,ECONC
5277,2182355.425,5981243.082,13.768,ECONC
5278,2182355.308,5981243.57,13.719,TC
5279,2182355.007,5981245.016,13.348,LIP
5280,2182341.139,5981242.041,13.774,EL BOX 2.0X3.0
5281,2182338.962,5981240.078,13.668,LIP PATCH 2
5282,2182340.819,5981233.334,13.805,EP PATCH 2
5283,2182340.998,5981232.563,13.816,GR
5284,2182339.26,5981238.594,13.929,TC
5285,2182346.372,5981240.282,13.703,PATCH 1.5
5286,2182347.788,5981235.715,13.646,PATCH 1.5
5287,2182323.054,5981227.944,13.947,GR
5288,2182322.809,5981228.203,13.967,EP
5289,2182321.104,5981233.019,14.021,TC
5290,2182320.57,5981234.285,13.78,LIP
5291,2182307.703,5981230.335,13.848,LIP
5292,2182308.033,5981229.008,14.114,TC TT
5293,2182308.191,5981228.587,14.099,ECONC
5294,2182309.645,5981223.889,14.057,EP ECONC
5295,2182308.518,5981223.468,14.069,ECONC
5296,2182308.419,5981224.053,14.01,CONC
5297,2182308.393,5981223.879,14.066,TC END
5298,2182304.194,5981222.491,14.087,TC
5299,2182303.9,5981222.652,13.78,CONC
5300,2182305.202,5981221.859,13.741,GR
5301,2182303.031,5981227.535,13.83,TC BT END
5302,2182302.865,5981228.97,13.835,LIP ECONC
5303,2182293.881,5981223.381,14.089,SDMH
5304,2182307.447,5981210.735,13.678,CONC
5305,2182307.742,5981210.807,13.981,TC
5306,2182309.766,5981210.751,13.396,"EL LITE 24"" BASE"
5307,2182311.908,5981211.885,13.57,EL BOX 1
5308,2182309.917,5981203.05,13.624,CONC
5309,2182310.166,5981203.084,13.922,TC
5310,2182310.832,5981203.371,13.265,GR
5311,2182324.236,5981207.759,13.347,EL RISER
5312,2182324.588,5981207.955,13.313,COL COR
